IdPA,IdRapp,DifferenceUploadDay,NomUnite,NomPrestataire,NomAuditeurDB,TotalAuditeur,EXIGENCES,DCOTES,CONSTATSDAUDIT,ACTIONFOURNISSEUR,DELAI,AVISAUDITEUR,AUDITEURPA
156,156.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,retrait de la tenue de travail pendant les pauses (à minima le haut de la tenue ou protection par une sur-blouse),c,la tenue n'est pas enlevée pendant les pauses et il n'y a pas de surblouse rajoutée.,une sur blouse sera ajouté lors des pauses.,01/09/2017,approuvé,VP Auditeur 1
157,157.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,analyse de risque existante et pertinente sur l'utilisation de vaisselle cassable en salle de pause (par exemple gestion des tenues et chaussures),c,"il n'y a pas de salle de pause, une procédure bris de verre est en cours, cependant un bocal de confiture en verre est présent pour la pause dans la chambre froide des ingrédients sans tenir compte des risques microbiologiques, allergènes, verre...",les aliments pour les pauses sont stockés dans une boite fermée.,IMMEDIAT,approuvé,VP Auditeur 1
158,158.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les bâtiments sont-ils situés, conçus, construits et entretenus de manière à assurer la sécurité, la légalité et la qualité des produits ?",c,"bâtiment en plein bourg, le bâtiment n'est pas récent et quelques joints de carrelage et plinthes en fabrication sont à revoir. des joints au plafond sont décollés. sol sous la nouvelle écrémeuse en béton brut en fabrication, couloir cave et quai de chargement avec sol en ciment brut et murs en brique rouge.",des petits travaux de rénovations sont réalisés tous les ans par le fromager.,2018,approuvé,VP Auditeur 1
159,159.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les bâtiments sont-ils entretenus, nettoyés et désinfectés de manière efficace, de manière à éviter toute contamination physique, chimique et microbiologique du produit ?",d,quelques joints au plafond et une lame se décollent avec une vis prête à tomber au dessus des moules des meules.,la rénovation du plafond au dessus des presses à été réalisée par le fromager.,IMMEDIAT,approuvé,VP Auditeur 1
160,160.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les structures, surfaces et matériaux, en particulier ceux en contact avec les aliments, sont-ils faciles à entretenir, nettoyer et, le cas échéant, à désinfecter ?",c,"le matériel de la machine à beurre est rouillé, les plaques en polypropylène sont usées et rabotées pour éviter les corps étrangers.",la barratte à beurre a été nettoyée et rénovée.,01/12/2017,approuvé,VP Auditeur 1
161,161.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"l'équipement est-il positionné de manière à assurer que les eaux usées et le drainage ne compromettent pas la sécurité, la légalité et la qualité des aliments ?",c,"conforme excepté un lave-mains dont l'évacuation coule directement sur le carrelage à 1,5 mètres de l'égout.",l'évacuation du lave main en salle fabrication sera discutée lors de la prochaine réunion avec les producteurs.,2018 fonction fusion,approuvé,VP Auditeur 1
162,162.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"des procédures documentées de nettoyage et de désinfection, incluant des activités de vérification, sont-elles en place et efficaces, pour assurer la propreté des installations de l’usine, des outils et des équipements ?",b,"auto vérification, il n'y a jamais d'inspections sur le nettoyage et les nettoyages non quotidiens ne sont pas tous enregistrés.",les nettoyages non quotidiens seront enregistrés par les fromagers sur le cahier de fabrication.,IMMEDIAT,approuvé,VP Auditeur 1
163,163.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les équipements, ustensiles et produits chimiques de nettoyage sont-ils clairement identifiés et stockés dans un endroit séparé et éloigné des produits, des équipements et des matériaux d’’emballage ? sont-ils adaptés à l’usage prévu ?",c,"des lavettes de sol à franges sont utilisées pour laver les bâtis de presse, elles sont lavées à la main et suspendues près de l'incubateur à levain. cela représente des risques de contamination microbiologiques et en corps étrangers.",les lavettes ont été supprimées.,IMMEDIAT,approuvé,VP Auditeur 1
164,164.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"présence d'un registre des éléments en verre et plastique dur, avec détail des emplacements. le registre doit être inspecté au moins une fois par mois dans les zones des produits nus. si des éléments à risque immédiat sont situés au dessus du passage des produits nus, ils doivent être inspectés avant chaque démarrage de fabrication.",d,"il n'y a pas d'inspections des cassables dans les zones de produits nus, un contrôle est fait avant démarrage sur les cuves.",le fromager vérifie avant chaque fabrication son environnement de travail et enregistre sur son cahier de fabrication.,01/09/2017,approuvé,VP Auditeur 1
165,165.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les moyens de maîtrise sont-ils appropriés par rapport aux produits, aux matières premières et aux installations ?",b,le système est en place mais quelques consommations dans les pièges des caves nécessitent une revue pour l'améliorer.,un point avec la société extérieur sera fait lors du prochain passage.,01/09/2017,approuvé,VP Auditeur 1
167,167.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,des vestiaires sont-ils prévus pour le personnel ?,d,"il n'y a pas de vestiaires, les employés arrivent en tenue de travail. de plus le pédiluve n'est pas mis en fonctionnement, les employés changent de chaussure en arrivant mais il n'y a pas de désinfection des bottes.",le pédiluve a été mis en fonctionnement. l'aménagement de vestiaire sont en discussion avec les producteurs.,2018,approuvé,VP Auditeur 1
169,169.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les réfectoires sont-ils séparés et éloignés des zones de production, de conditionnement et de stockage ?",d,"pas de réfectoire en place , la pause est prise dans le bureau attenant en tenue de travail.","des règles, lors de la pause ont été instaurées.",2018,approuvé,VP Auditeur 1
170,170.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,y a-t-il des installations appropriées pour le stockage des aliments et des ingrédients ?,d,"2 caves pouvant contenir 300 meules, cadres en bois. dans la chambre froide des ingrédients, figurent les produits personnels pour le casse croûte, et des produits du magasin.",la chambre froide a été réorganisée. les ingrédients pour la fabrication sont séparés de ceux du magasin. les aliments pour le personnel lors des pauses est mis dans une boite fermée.,IMMEDIAT,approuvé,VP Auditeur 1
171,171.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,les installations de stockage des aliments sont-elles construites afin de protéger efficacement les matériaux et produits finis contre la contamination pendant le stockage ?,c,présence de mousse polyuréthane au plafond d'une cave qui risque de perdre des morceaux sur les meules.,le plafond de la cave a été nettoyé.,IMMEDIAT,approuvé,VP Auditeur 1
172,172.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,un programme documenté de maintenance est-il établi ?,b,"prestataires de maintenance externe, frigoriste, chaudière, palans. la maintenance est de premier niveau en interne. quelques travaux à faire en interne (points de rouilles sur un boitier de contrôle de la chaudière et sur l'armoire à l'entrée des employés…)",les travaux de rénovation de l'atelier sont en cours.,2018,approuvé,VP Auditeur 1
173,173.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les sources potentielles de contaminations croisées ont-elles été identifiées ? les procédures ont-elles été établies pour la manipulation des matières premières, des produits intermédiaires et des produits finis, pour éviter ces contaminations croisées ?",d,stockage de produits personnels pour la pause des employés dans la chambre froide des ingrédients. risque allergène de par ses ingrédients.,le stockage est dans une boite fermée séparé du reste des ingrédients.,IMMEDIAT,approuvé,VP Auditeur 1
174,174.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,les menaces qui pèsent sur le produit suite à une altération intentionnelle/ contamination intentionnelle ont-elles été évaluées ?,d,pas d'étude de risques ni d'évaluation.,"impossible à mettre en place pour une petite structure. le cout sera trop important. les ouvertures sont fermée à clé, 24h /24. une étude sera envisagé par le ctfc, pour formalisé une procédure commune à l'ensemble des fruitières. //(ancienne action 02/10/2017 ) impossible à mettre en place pour une petite structure. le cout sera trop important. les ouvertures sont fermée à clé, 24h /24.",2018,approuvé,VP Auditeur 1
175,175.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,les étapes du procédé de fabrication vulnérables par rapport à une altération intentionnelle/contamination intentionnelle ont-elles été identifiées ? sont-elles soumises à un contrôle d’accès supplémentaire ?,d,"le tank de stockage du lait situé à l'extérieur n'est pas sécurisé (cadenas), il n'y a pas d'échelles en place cependant.",un moyen pour sécuriser le tanck sera mis en place.,01/12/2017,approuvé,VP Auditeur 1
106,106.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"les spécifications sont elles disponibles pour tous les intrants (matières premières, ingrédients, additifs, matériau d'emballage, produit recyclé) et produits finis ?",c,"les spécifications sont disponibles mais ne sont pas remises à jour tous les 3 ans (ex : ft présure de 2010, sta de 2012).",les fiches techniques des intrants ont été demandés aux fournisseurs.,01/09/2017,approuvé,VP Auditeur 1
107,107.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,les spécifications disponibles sont elle conformes aux exigences de sécurité des aliments et réglementaires ainsi qu'aux exigences clients ? tiennent-elles compte de la vulnérabilité à la fraude alimentaire ?,b,il manque les informations allergènes pour la présure et les informations ogm pour les produits de chez chr hansen.,la fiche technique de la présure a été mise à jour avec la mention allergène et ogm.,Immédiat,approuvé,VP Auditeur 1
108,108.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"des certificats de conformité respectant les exigences réglementaires en vigueur, existent-t-ils pour tous les matériaux d'emballage qui pourraient avoir une influence sur les produits ? existe-t-il des preuves permettant de démontrer que les matériaux d'emballage sont adaptés à leurs utilisation, dans le cas où aucune exigence réglementaire spécifique n'est applicable ? cela s'applique-t-il aux matéraux d'emballage qui pourraient avoir une influence sur les matières premières, les produits semi-finis et les produits finis ?",c,"il n'y a pas de certificat d'alimentarité pour les planches d'épicéa (fournisseur local) mais il est mentionné sur le bon de livraison que les planches sont ressuyées et chanfreinées. il n'y a aucun certificat d'alimentarité pour les matériaux et ustensiles en contact avec les aliments : plaques polypropylène, spatules de chez sogebul , filtres de chez morelle..., les fournisseurs sont des fournisseurs habituels de l'agro alimentaires mais les certificats ne sont ni demandés ni fournis.",des certificats d'alimentarité ont été demandés aux fournisseurs.,01/07/2017,approuvé,VP Auditeur 1
109,109.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"les enregistrements permettant l'identification du produit sont-ils disponibles à toutes les étapes de production : stockage/inventaire, travail en cours, de post-traitement, recyclage. les enregistrements, à partir de l'achat, en passant par la production, jusqu'à la destination immédiate de livraison sont-ils disponibles pour toutes les matières premières et matériaux d'emballage ?",c,"enregistrements disponibles et envoyés par mail lors de l'audit par la fromagerie arnaud ( pour la traçabilité avale). pour les ingrédients, les numéros de lots ne sont pas marqués sur les bons de livraison par le fournisseur.",le numéro de lots des intrants en fabrication sont enregistrés sur les bl et enregistrés sur el cahier de fabrication.,01/07/2017,approuvé,VP Auditeur 1
110,110.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,le système de traçabilité est-il testé au moins une fois par an ? le système est-il mis à jour si nécesssaire et les enregistrements maintenus ?,b,"le système est testé lors des audits clients mais il n'y a pas de preuves gardées ou de bilan, peu de documents en jeu donc ils sont sortis presque au fur et à mesure de la restitution du test.",un test de traçabilité sera fait par les fromageries arnaud et envoyé à la fromageries arnaud.,prochain test 31/12/2017,approuvé,VP Auditeur 1
111,111.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"le système de gestion des incidents est il revu, testé et vérifié au moins une fois par an ?",b,il n'y a pas de test fait par la fromagerie arnaud qui travaille avec 32 fromageries (un test est fait une fois par an sur une fromagerie) ni par le ctfc qui travaille avec 160 fruitières. le site ne teste pas sa capacité à réagir (ex : retrait ou rappel en cas d'ingrédient rappelé par le fournisseur),"en cas de retrait rapel, ce sont les fromageries arnaud, metteur sur le marché qui gère. la procédure retrait rappel est testée 1 fois par an.",01/09/2017,approuvé,VP Auditeur 1
112,112.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"les actions correctives (libération, recyclage, quarantaine, rejet/élimination) sont-elles identifiées et mises en place efficacement afin d'éliminer la cause d'une déviation ou d'une non-conformité identifiée ou autre situation indésirable ?",b,"sur les fiches d'alertes le ctfc demande de mettre en œuvre les actions nécessaires, elles ne sont pas toujours toutes enregistrées.",les actions seront enregistrées sur les fiches d'alertes.,Immédiat,approuvé,VP Auditeur 1
114,114.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"existe-t-il des preuves que la direction est engagée à fournir les ressources pour mettre en œuvre et respecter leur programme de sécurité sanitaire et de qualité, y compris les exigences du client.",b,"la fruitière appartient à 8 producteurs, il n'y a pas d'engagement de la direction mais les propriétaires sont les producteurs et un président est nommé. le cftc est certifié iso 9001 (23/06/2016), le président rencontre régulièrement le responsable de la fromagerie. le président a assisté à une partie de l'audit et à la synthèse.",les producteurs et la fromager ont a disposition des déclarations d'identification permettant de respecter le cdc aop.,2018,approuvé,VP Auditeur 1
115,115.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,les employés ayant une influence sur les caractéristiques du produit doivent être conscients de leurs responsabilités et doivent également pouvoir démontrer la compréhension de leurs responsabilités.,d,"les règles d'hygiène ne sont pas suffisamment rappelées aux employés (rangement, lavage des mains, port de bijoux, rangement bureau et aliments, vestiaires).",des rappels sur les règles d'hygiène ont été fait pour l'ensemble du personnel. des affiches ont été mises en place.,Immédiat,approuvé,VP Auditeur 1
116,116.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"les appareils de mesure et de surveillance critiques pour la sécurité, la qualité (incluant les exigences clients) et légalité des aliments sont-ils identifiés, calibrés, étalonnés et traçables selon des normes/standards reconnu(e)s ? sont-ils maîtrisés de manière efficace ?",b,"certains thermomètres sont en retard de vérification depuis 2014, (étuve et bain marie) la venue du technicien du ctfc est imminente.",la vérification des thermomètres a été demandé au ctfc.,Immédiat,approuvé,VP Auditeur 1
117,117.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"contrôle interne quotidien du petit matériel de mesure (oxymètre, analyseurs de gaz, c/p, réfractomètres, ph mètre…) et contrôle du matériel de mesure en ligne",c,"un contrôle du fonctionnement de la nep est fait une a deux fois par an par le prestataire mais il n'y a pas de contrôle quotidien de la concentration ou de la conductivité , une case est prévue dans le cahier fabrication du ctfc à ce sujet.",le contrôle de la conductivité ou de la concentration de la nep sera enregistré 1 fois par semaine sur le cahier de fabrication.,Immédiat,approuvé,VP Auditeur 1
118,118.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,tout le personnel concerné a-il reçu une formation de recyclage ?,b,la fréquence de recyclage a lieu tous les 5 ans ce qui est faible.,les formations sont gérées par le ctfc.,2018,approuvé,VP Auditeur 1
119,119.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,un programme documenté de formation du personnel est-il en place et appliqué de manière efficace et inclut des recyclages (mise à jour et réccurence) ?,b,"formation régulière par le ctfc, cependant la fréquence est tous les 5 ans ce qui est faible.",l'information a été remonté au ctfc qui estime la fréquence est suffisante et validée par nos services vétérinaires. des rappels des règles sont cependant faite par les techniciens lors de leur suivi technique.,2018,approuvé,VP Auditeur 1
120,120.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,les enregistrements appropriés des formations sont-ils disponibles ?,b,enregistrements et attestations vues. cependant le contenu de la formation n'est pas disponible ni les tests de fin de formation.,les supports de formations ont été demandés au ctfc.,2018,approuvé,VP Auditeur 1
121,121.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"un plan de contrôle est-il disponible pour les analyses internes et externes pour s'assurer que toutes les exigences spécifiées du produit sont respectées, y compris les exigences légales et les spécifications du client, et ce pendant toute la durée de vie ? les résultats sont-ils documentés ?",b,"un plan de contrôle dans la fruitière est en place : -lait : analyse réglementaire 4 fois par mois pour le paiement (cellules, mg, mp, e coli, cryoscopie), 1 fois par mois pour la listeria et salmonelle et staphylocoque, -levain : coliformes 4 fois par an -morge listeria :1 fois par mois -affinage : recherche des pathogènes avec 1 analyse par mois sur les fromages à 4 mois. -environnement : 2 fois par an pour les surfaces en contact avec le produit. a noter que le plan de contrôle cite des analyses en coliformes sur les sols ce qui n'est pas pertinent (résultats souvent innombrables), la listeria est davantage pertinente sur les sols.",le plan de contrôle au niveau des sols va être amélioré par le ctfc.,01/12/2017,approuvé,VP Auditeur 1
122,122.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"interdiction de porter des bijoux, piercing et autres accessoires (par exemple ""lunettes bijoux""), avec tolérance pour les alliances lisses",c,"pas de bijoux portés, cependant les exigences en matière de port de bijoux et les interdictions ne sont pas clairement écrites dans le dossier agrément ou les procédures sur place.",des affiches sur le port des bijoux ont été mise en places.,01/09/2017,approuvé,VP Auditeur 1
123,123.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,retrait de la tenue de travail pendant les pauses (à minima le haut de la tenue ou protection par une sur-blouse),c,"la tenue n'est pas enlevée pendant les pauses et il n'y a pas de surblouse rajoutée pendant le ""casse croûte""","lors des pauses, une blouse bleues sera mise sur la tenue de travail.",Immédiat,approuvé,VP Auditeur 1
124,124.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,analyse de risque existante et pertinente sur l'utilisation de vaisselle cassable en salle de pause (par exemple gestion des tenues et chaussures),d,"il n'y a pas de salle de pause, cependant un bocal de confiture en verre est présent pour la pause dans le bureau des fromagers attenant à la production. une procédure bris de verre existe dans le dossier agrément mais n'est pas connue du responsable fabrication, des pipettes en verre sont présentes dans le labo de production.",la procédure bris de verre a été affichée.,Immédiat,approuvé,VP Auditeur 1
126,126.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,les sols et les alentours de l’usine sont-ils entretenus et maintenus exempts de déchets et d’accumulation de détritus ?,c,"accumulation de déchets à l'extérieur mais qui appartiennent au voisin. de plus, les souples de dépotage ne sont pas repositionnées sur le support et un coude en inox traîne au sol au poste de dépotage. près du dépotage, une plaque d'égout est manquante et remplacée par une planche de bois.",les zones extérieurs vont êtres aménagées et rangées.,1er trimètre 2018,approuvé,VP Auditeur 1
127,127.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"des procédures documentées de nettoyage et de désinfection, incluant des activités de vérification, sont-elles en place et efficaces, pour assurer la propreté des installations de l’usine, des outils et des équipements ?",b,"auto vérification, il n'y a jamais d'inspections sur le nettoyage et les nettoyages non quotidiens ne sont pas tous enregistrés.",les nettoyages non quotidiens seront enregistrés sur le cahier de fabrication.,01/09/2017,approuvé,VP Auditeur 1
128,128.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"les équipements, ustensiles et produits chimiques de nettoyage sont-ils clairement identifiés et stockés dans un endroit séparé et éloigné des produits, des équipements et des matériaux d’’emballage ? sont-ils adaptés à l’usage prévu ?",b,présence de 2 flacons de produits chimiques non identifiés,les flacons de produits chimiques ont été supprimés.,Immédiat,approuvé,VP Auditeur 1
129,129.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"présence d'une procédure de gestion des bris de verre documentée et connue par le personnel : la procédure doit prévoir à minima l'inspection ou si besoin le remplacement des tenues de travail, le nettoyage des chaussures, l'isolement de la zone de casse, l'enregistrement de l'incident.",b,procédure en place mais pas assez connue par le responsable.,le personnel a pris connaissance de la procédure bris de verre.,Immédiat,approuvé,VP Auditeur 1
130,130.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,présence de matériel de balayage spécifique pour les bris de verre,b,"il n'y a pas de matériel spécifique , il est cependant mentionné de laver les matériels de ramassage.",le matériel de ramassage pour le bris de verre a été identifié.,01/12/2017,approuvé,VP Auditeur 1
131,131.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"présence d'un registre des éléments en verre et plastique dur, avec détail des emplacements. le registre doit être inspecté au moins une fois par mois dans les zones des produits nus. si des éléments à risque immédiat sont situés au dessus du passage des produits nus, ils doivent être inspectés avant chaque démarrage de fabrication.",d,"il n'y a pas d'inspections des cassables dans les zones de produits nus, un contrôle est fait avant démarrage sur les cuves uniquement.",le fromager vérifie son environnement de travail pas seulement les cuves.,01/09/2017,approuvé,VP Auditeur 1
132,132.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,un programme de lutte contre les nuisibles efficace est-il en place ?,b,"un programme est en place mais n'est pas suffisant, le suivi ne montre aucune consommation et la fréquence de suivi est difficile à suivre. il n'y a pas de changements de néon annuel des insectocuteurs, le responsable fabrication n'est pas particulièrement formé à cette tâche.",les néon seront changés annuellement par le fromager.,01/09/2017,approuvé,VP Auditeur 1
133,133.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,"le programme d’inspection est-il réalisé par une personne compétente, à une fréquence appropriée ? les constats/résultats sont-ils traités ?",d,"des pièges sont en place et suivis en interne mais le suivi n'est pas suffisant. le suivi ne montre aucune consommation et la fréquence de suivi est difficile à suivre. il n'y a pas de changements de néon annuel des insectocuteurs, le responsable fabrication n'est pas particulièrement formé à cette tâche.",la dératisation serait fait par un prestataire extérieur. en cours de décisions par les producteurs.,2018,approuvé,VP Auditeur 1
134,134.0,13,VP Fournisseur 25,Visi office 3,VP Auditeur 1,449,herméticité des portes et portails donnant sur l'extérieur,b,la porte de la réception n'est pas étanche.,l'étanchéité de la porte du quai sera améliorée.,01/12/2017,approuvé,VP Auditeur 1
